amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
002-5333682-9308658	002-5333682-9308658	2024-02-13T04:38:06+00:00	2024-02-13T21:07:00+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	27.95	2.21							Milwaukee	WI	53207	US		FALSE			FALSE
004-0368009-2909040	004-0368009-2909040	2024-02-13T03:43:18+00:00	2024-02-13T16:14:53+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	200	17.75							BROOKLYN	NY	11234-6627	US		FALSE			FALSE
000-6058366-9690428	000-6058366-9690428	2024-02-12T18:04:33+00:00	2024-02-15T05:42:45+00:00	Shipped	Amazon	Amazon.com			Standard	REDACTED_2	Shipped	1	USD	75.63		3.54					3.54	NEW YORK	NY	10001-5301	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	FALSE			FALSE
003-6948963-4339462	003-6948963-4339462	2024-02-11T23:13:28+00:00	2024-02-12T08:55:54+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	149.95	15							ELMWOOD PARK	IL	60707-0250	US		FALSE			FALSE
003-8249905-3085808	003-8249905-3085808	2024-02-11T22:04:44+00:00	2024-02-13T07:35:33+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	125	7.81							DENISON	TX	75020-0900	US		FALSE			FALSE
002-6509543-0352253	002-6509543-0352253	2024-02-11T21:25:54+00:00	2024-02-12T17:26:54+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	103	8.5							SOUTH PADRE ISLAND	TX	78597-7007	US		FALSE			FALSE
003-0002230-3025040	003-0002230-3025040	2024-02-11T12:11:52+00:00	2024-02-12T10:02:48+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	66.84	4.24							DARIEN	CT	06820-3620	US		FALSE			FALSE
000-4830220-3663402	000-4830220-3663402	2024-02-10T23:21:07+00:00	2024-02-11T10:14:13+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	80.55								NEW YORK	NY	10010-6514	US		FALSE			FALSE
000-4830220-3663402	000-4830220-3663402	2024-02-10T23:21:07+00:00	2024-02-11T10:14:13+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	100								NEW YORK	NY	10010-6514	US		FALSE			FALSE
004-0930000-8962629	004-0930000-8962629	2024-02-10T16:15:49+00:00	2024-02-12T09:53:51+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	300	21.75							CHARLOTTE	NC	28226-0923	US		FALSE			FALSE
