amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
004-2660856-3989040	004-2660856-3989040	2023-02-26T07:14:41+00:00	2023-03-02T19:28:34+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	29.95	2.32							PERRIS	CA	92571-4033	US		FALSE			FALSE
004-6249423-4956235	004-6249423-4956235	2023-02-26T06:08:52+00:00	2023-02-26T21:16:59+00:00	Shipped	Amazon	Amazon.com			Standard	REDACTED_2	Shipped	1	USD	56.51	3.39							DISTRICT HEIGHTS	MD	20747-2997	US		FALSE			FALSE
004-8654669-4233840	004-8654669-4233840	2023-02-26T06:03:09+00:00	2023-02-26T20:02:49+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	55.53	3.33							DISTRICT HEIGHTS	MD	20747-2997	US		FALSE			FALSE
000-0006309-5340054	000-0006309-5340054	2023-02-26T05:13:35+00:00	2023-02-26T19:43:48+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	29.95								WALTHAM	MA	02453-2418	US		FALSE			FALSE
004-6052233-6933050	004-6052233-6933050	2023-02-26T04:10:08+00:00	2023-02-27T10:07:36+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	84.58	6.98							CARROLLTON	TX	75010-1190	US		FALSE			FALSE
000-2543088-5426600	000-2543088-5426600	2023-02-26T03:09:08+00:00	2023-02-26T23:55:36+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	54.95	3.3							ADA	MI	49301-7700	US		FALSE			FALSE
003-4945032-0322603	003-4945032-0322603	2023-02-26T02:26:13+00:00	2023-02-26T19:33:29+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	29.95	2.58							SAN FRANCISCO	CA	94108-1506	US		FALSE			FALSE
000-6502366-0685035	000-6502366-0685035	2023-02-26T02:25:32+00:00	2023-02-27T01:36:23+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	12.99								RIVERSIDE	RI	02915-3904	US		FALSE			FALSE
004-3933643-3366632	004-3933643-3366632	2023-02-26T02:20:47+00:00	2023-02-28T22:22:01+00:00	Shipped	Amazon	Amazon.com			SecondDay	REDACTED_2	Shipped	1	USD	67.21	5.54							DALLAS	TX	75254-2703	US		FALSE			FALSE
004-0305035-0426668	004-0305035-0426668	2023-02-26T02:11:50+00:00	2023-02-28T04:40:30+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	75.13	6.2							DALLAS	TX	75254-2703	US		FALSE			FALSE
002-6034069-9303402	002-6034069-9303402	2023-02-26T01:53:31+00:00	2023-03-06T03:01:34+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	65.68								JERSEY CITY	NJ	07304-2001	US		FALSE			FALSE
004-0906420-3036260	004-0906420-3036260	2023-02-26T01:44:56+00:00	2023-02-26T21:56:17+00:00	Shipped	Amazon	Amazon.com			SecondDay	REDACTED_2	Shipped	1	USD	55.53	4.3							RANCHO SANTA MARGARITA	CA	92688-3113	US		FALSE			FALSE
002-5068303-2058645	002-5068303-2058645	2023-02-26T01:13:42+00:00	2023-02-26T09:14:16+00:00	Shipped	Amazon	Amazon.com			Standard	REDACTED_2	Shipped	1	USD	141.28	9.18							STUART	FL	34996-6422	US		FALSE			FALSE
003-5653306-0498663	003-5653306-0498663	2023-02-26T00:22:53+00:00	2023-02-27T03:19:47+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	79.85	6.59							BOERNE	TX	78006-6007	US		FALSE			FALSE
004-5400390-2489842	004-5400390-2489842	2023-02-25T23:36:46+00:00	2023-02-28T10:16:20+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	54.95	3.98							vincent	Ohio	45784	US		FALSE			FALSE
004-9862455-4400422	004-9862455-4400422	2023-02-25T23:17:12+00:00	2023-03-02T01:51:29+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	84.58								MANSFIELD	MA	02048-3400	US		FALSE			FALSE
003-6000334-6004603	003-6000334-6004603	2023-02-25T22:32:53+00:00	2023-02-26T22:06:36+00:00	Shipped	Amazon	Amazon.com			SecondDay	REDACTED_2	Shipped	1	USD	84.58	8.04							LOS ANGELES	CA	90026-1309	US		FALSE			FALSE
000-5246364-3430453	000-5246364-3430453	2023-02-25T20:35:40+00:00	2023-02-26T08:36:02+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	75.13	5.86							CHANDLER	AZ	85248-3723	US		FALSE			FALSE
004-6423443-6065832	004-6423443-6065832	2023-02-25T20:04:47+00:00	2023-02-26T19:36:03+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	29.95								BOSTON	MA	02215-1003	US		FALSE			FALSE
